"","Country","Export","Year","import","Net","Region","shape"
"1","Afghanistan",22222233.33,1960,37777780,-15555546.67,"South Asia","Other"
"11","Angola",0,1960,0,0,"Sub-Saharan Africa","Other"
"28","Albania",0,1960,0,0,"Europe & Central Asia","Other"
"45","United Arab Emirates",0,1960,0,0,"Middle East & North Africa","Other"
"62","Argentina",0,1960,0,0,"Latin America & Caribbean","Other"
"79","Armenia",0,1960,0,0,"Europe & Central Asia","Other"
"96","Australia",2413484153,1960,2611714638,-198230485,"East Asia & Pacific","Other"
"113","Austria",1532657936,1960,1533588048,-930112,"Europe & Central Asia","Other"
"130","Azerbaijan",0,1960,0,0,"Europe & Central Asia","Other"
"147","Burundi",24499998,1960,26250000,-1750002,"Sub-Saharan Africa","Other"
"164","Belgium",4407077778,1960,4488686803,-81609025,"Europe & Central Asia","Other"
"181","Benin",13852022.33,1960,27392931.59,-13540909.26,"Sub-Saharan Africa","Other"
"198","Burkina Faso",16066015.59,1960,52340174.82,-36274159.23,"Sub-Saharan Africa","Other"
"215","Bangladesh",427347691.4,1960,397875421.7,29472269.7,"South Asia","Other"
"232","Bulgaria",0,1960,0,0,"Europe & Central Asia","Other"
"249","Bahrain",0,1960,0,0,"Middle East & North Africa","Other"
"266","Bosnia and Herzegovina",0,1960,0,0,"Europe & Central Asia","Other"
"283","Belarus",0,1960,0,0,"Europe & Central Asia","Other"
"300","Belize",0,1960,0,0,"Latin America & Caribbean","Other"
"317","Bolivia",60602013.39,1960,89483964.67,-28881951.28,"Latin America & Caribbean","Other"
"334","Brazil",1070544629,1960,1079376915,-8832286,"Latin America & Caribbean","Target"
"351","Barbados",0,1960,0,0,"Latin America & Caribbean","Other"
"368","Bhutan",0,1960,0,0,"South Asia","Other"
"385","Botswana",7991027.618,1960,12056638.16,-4065610.542,"Sub-Saharan Africa","Other"
"402","Central African Republic",26101663.53,1960,38336816.27,-12235152.74,"Sub-Saharan Africa","Other"
"419","Canada",6971938200,1960,7452527623,-480589423,"North America","Other"
"436","Switzerland",2644513820,1960,2546890123,97623697,"Europe & Central Asia","Other"
"453","Chile",536608944.1,1960,650749016.1,-114140072,"Latin America & Caribbean","Other"
"470","China",2571289301,1960,2644406532,-73117231,"East Asia & Pacific","Target"
"487","Cameroon",0,1960,0,0,"Sub-Saharan Africa","Other"
"504","Colombia",632672494.3,1960,594894694.8,37777799.5,"Latin America & Caribbean","Other"
"521","Comoros",0,1960,0,0,"Sub-Saharan Africa","Other"
"538","Costa Rica",107517342.9,1960,132338590.9,-24821248,"Latin America & Caribbean","Other"
"555","Cuba",0,1960,0,0,"Latin America & Caribbean","Other"
"572","Cyprus",0,1960,0,0,"Europe & Central Asia","Other"
"589","Czech Republic",0,1960,0,0,"Europe & Central Asia","Other"
"606","Germany",0,1960,0,0,"Europe & Central Asia","Other"
"623","Djibouti",0,1960,0,0,"Middle East & North Africa","Other"
"640","Dominica",0,1960,0,0,"Latin America & Caribbean","Other"
"642","Denmark",2019063422,1960,2144751949,-125688527,"Europe & Central Asia","Other"
"659","Dominican Republic",172100000,1960,126500000,45600000,"Latin America & Caribbean","Other"
"676","Algeria",1063398805,1960,1828756553,-765357748,"Middle East & North Africa","Other"
